year,release_date,title,genre,international_box_office,domestic_box_office,worldwide_box_office,production_budget,,opening_weekend,theatre_count,avg run per theatre,runtime,keywords,creative_type,url
2016,January 8th,Assolo,Comedy,1790566.00,n/a,1790566.00,,,,,,97,,Contemporary Fiction,https://www.the-numbers.com/movie/Assolo-(Italy)-(2016)
2016,January 8th,Bronces en Isla Verde,Documentary,424.00,n/a,424.00,,,,,,88,,Factual,https://www.the-numbers.com/movie/Bronces-en-Isla-Verde-(Argentina)-(2016)
2016,January 8th,Beauty and the Bestie,Action,64754.00,n/a,64754.00,,,,,,,,Contemporary Fiction,https://www.the-numbers.com/movie/Beauty-and-the-Bestie
2016,January 8th,Alias MarÃƒÂ­a,Drama,2208.00,n/a,2208.00,,,,,,91,,Historical Fiction,https://www.the-numbers.com/movie/Alias-Maria-(Colombia)-(2015)
2016,January 8th,Anesthesia,Drama,35121.00,26799.00,61920.00,,,6747.00,1,2.60,89,Non-Chronological,Contemporary Fiction,https://www.the-numbers.com/movie/Anesthesia
2016,January 8th,ArrÃƒÂªtez-moi lÃƒ,Drama,213835.00,n/a,213835.00,,,,,,94,,Contemporary Fiction,https://www.the-numbers.com/movie/Arretez-moi-la-(France)-(2016)
2016,January 8th,Adi Kapyare Kootamani,Comedy,6186.00,n/a,6186.00,,,,,,,,Contemporary Fiction,https://www.the-numbers.com/movie/Adi-Kapyare-Kootamani
2018,January 5th,Madtown,Drama,,n/a,,,,,,,120,The Past Catching up with You,Contemporary Fiction,https://www.the-numbers.com/movie/Madtown-(2018)
2018,January 5th,Osmi povjerenik,Comedy,,n/a,,,,,,,139,,Contemporary Fiction,https://www.the-numbers.com/movie/Osmi-povjerenik-(Croatia)-(2018)
2018,January 5th,Mult v Kino: Vypusk No. 66,Adventure,103291.00,n/a,103291.00,,,,,,45,,Kids Fiction,https://www.the-numbers.com/movie/Mult-v-Kino-Vypusk-no-66-(Russia)
2018,January 5th,In the Land of Pomegranates,Documentary,,7014.00,,,,3072.00,1,2.00,124,Set in Middle East,Factual,https://www.the-numbers.com/movie/In-the-Land-of-Pomegranates-(Israel)
